Server,Level,name,Fully Qualified Name,Ignore,Merged Description,Description,Status,In Use,Business Unit,App Link,Redline DA Access Granted
GSFS-AU-SQL-P01,Primary,ASPState,GSFS-AU-SQL-P01.ASPState,,SCS Application,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,DBA_Repository,GSFS-AU-SQL-P01.DBA_Repository,,DBA purpose,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,gsfs_applications,GSFS-AU-SQL-P01.gsfs_applications,,GSFS Group Application,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,GSFS_Trans,GSFS-AU-SQL-P01.GSFS_Trans,,GSFS Group Application,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,master,GSFS-AU-SQL-P01.master,Yes,,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,model,GSFS-AU-SQL-P01.model,Yes,,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,msdb,GSFS-AU-SQL-P01.msdb,Yes,,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,ReportServer,GSFS-AU-SQL-P01.ReportServer,,SCS Reports,MS Report Server typically housing datasources tied to the SCS Application,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,ReportServerTempDB,GSFS-AU-SQL-P01.ReportServerTempDB,Yes,SCS Reports,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,scs_auto_document_gsfs,GSFS-AU-SQL-P01.scs_auto_document_gsfs,,SCS Application,SCS sub application database used to store contract scanned images,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,scs_auto_gsfs,GSFS-AU-SQL-P01.scs_auto_gsfs,,SCS Application,Full Lifecycle F&I enterprise application for managing and integrating vehicle service contracts and claims.,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,scs_auto_master,GSFS-AU-SQL-P01.scs_auto_master,,SCS Application,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,scs_auto_temp,GSFS-AU-SQL-P01.scs_auto_temp,Yes,SCS Application,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,scs_stage,GSFS-AU-SQL-P01.scs_stage,,SCS Application,Staging location for Data Warehouse,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,scs_utility,GSFS-AU-SQL-P01.scs_utility,,SCS Application,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,scs_warehouse_gsfs,GSFS-AU-SQL-P01.scs_warehouse_gsfs,,SCS Application,Sofware vendors data warehouse. GSFS does not use this. GSFS Provides their own data warehouse.,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,scs_warehouse_master,GSFS-AU-SQL-P01.scs_warehouse_master,,SCS Application,Sofware vendors data warehouse. GSFS does not use this. GSFS Provides their own data warehouse.,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,SSA,GSFS-AU-SQL-P01.SSA,,DBA purpose,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,SSISDB,GSFS-AU-SQL-P01.SSISDB,,SSIS Packages,,ONLINE,,,,Yes
GSFS-AU-SQL-P01,Primary,tempdb,GSFS-AU-SQL-P01.tempdb,Yes,,,ONLINE,,,,Yes
GSFS-AU-SQL-P02,Primary,corporatewebsite91sp1,GSFS-AU-SQL-P02.corporatewebsite91sp1,,GSFS Group Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,CorporateWebsite,GSFS-AU-SQL-Q01.CorporateWebsite,,,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,DBA_Repository,GSFS-AU-SQL-P02.DBA_Repository,,DBA purpose,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,Dev_I3_IC,GSFS-AU-SQL-P02.Dev_I3_IC,,Call Center,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,GSFSSecurity,GSFS-AU-SQL-P02.GSFSSecurity,,SSIS Packages,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,I3_IC,GSFS-AU-SQL-P02.I3_IC,,Call Center,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,master,GSFS-AU-SQL-P02.master,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,model,GSFS-AU-SQL-P02.model,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,msdb,GSFS-AU-SQL-P02.msdb,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,P_EDFSecurity,GSFS-AU-SQL-P02.P_EDFSecurity,,SSIS Packages,,NULL,,,,Yes
GSFS-FC-SQL-Q01,Secondary,CorporateWebsite,GSFS-FC-SQL-Q01.CorporateWebsite,,,,ONLINE,,,,Yes
GSFS-AU-SQL-P02,Primary,SSA,GSFS-AU-SQL-P02.SSA,,DBA purpose,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,SSISDB,GSFS-AU-SQL-P02.SSISDB,,SSIS Packages,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,tempdb,GSFS-AU-SQL-P02.tempdb,Yes,,,NULL,,,,Yes
GSFS-SQLDEV01,Dev,CorporateWebsite,GSFS-SQLDEV01.CorporateWebsite,,,,ONLINE,,,,Yes
GSFS-AU-SQL-P04,Primary,DBA,GSFS-AU-SQL-P04.DBA,,DBA purpose,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,DBA_Repository,GSFS-AU-SQL-P04.DBA_Repository,,DBA purpose,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,GSFS_Archive,GSFS-AU-SQL-P04.GSFS_Archive,,Archive database for SCS,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,GSFS_DW,GSFS-AU-SQL-P04.GSFS_DW,,Data Warehouse & All internal applications,,NULL,,,,Yes
sqlqascs,Primary,CorporateWebsite,sqlqascs.CorporateWebsite,,,,NULL,,,,Yes
GSFS-AU-SQL-Q02,Primary,CorporateWebsite91,GSFS-AU-SQL-Q02.CorporateWebsite91,,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,CorporateWebsite91,GSFS-FC-SQL-Q02.CorporateWebsite91,,,,ONLINE,,,,Yes
GSFS-SQLDEV01,Dev,CorporateWebsiteDev,GSFS-SQLDEV01.CorporateWebsiteDev,,,,ONLINE,,,,Yes
GSFS-AU-SQL-P04,Primary,GSFS_Stage,GSFS-AU-SQL-P04.GSFS_Stage,,SSRS Reports,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,master,GSFS-AU-SQL-P04.master,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,model,GSFS-AU-SQL-P04.model,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,msdb,GSFS-AU-SQL-P04.msdb,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,ReportServer,GSFS-AU-SQL-P04.ReportServer,,SCS Reports,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,ReportServerTempDB,GSFS-AU-SQL-P04.ReportServerTempDB,Yes,SCS Reports,,NULL,,,,Yes
GSFS-AU-SQL-P02,Primary,CustomerPortal,GSFS-AU-SQL-P02.CustomerPortal,,,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,SSA,GSFS-AU-SQL-P04.SSA,,DBA purpose,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,SSISDB,GSFS-AU-SQL-P04.SSISDB,,SSIS Packages,,NULL,,,,Yes
GSFS-AU-SQL-P04,Primary,tempdb,GSFS-AU-SQL-P04.tempdb,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,ASPState,GSFS-AU-SQL-Q01.ASPState,,SCS Application,,NULL,,,,Yes
GSFS-AU-SQL-Q02,Primary,CustomerPortal,GSFS-AU-SQL-Q02.CustomerPortal,,,,ONLINE,,,,Yes
GSFS-FC-SQL-Q02,Secondary,CustomerPortal,GSFS-FC-SQL-Q02.CustomerPortal,,,,ONLINE,,,,Yes
GSFS-AU-SQL-Q01,Primary,gsfs_applications,GSFS-AU-SQL-Q01.gsfs_applications,,GSFS Group Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,GSFS_Trans,GSFS-AU-SQL-Q01.GSFS_Trans,,GSFS Group Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,master,GSFS-AU-SQL-Q01.master,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,model,GSFS-AU-SQL-Q01.model,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,msdb,GSFS-AU-SQL-Q01.msdb,Yes,,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,ReportServer,GSFS-AU-SQL-Q01.ReportServer,,SCS Reports,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,ReportServerTempDB,GSFS-AU-SQL-Q01.ReportServerTempDB,,SCS Reports,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_auto_document_gsfs,GSFS-AU-SQL-Q01.scs_auto_document_gsfs,,SCS Application,SCS sub application database used to store contract scanned images,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_auto_gsfs,GSFS-AU-SQL-Q01.scs_auto_gsfs,,SCS Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_auto_master,GSFS-AU-SQL-Q01.scs_auto_master,,SCS Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_auto_temp,GSFS-AU-SQL-Q01.scs_auto_temp,,SCS Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_stage,GSFS-AU-SQL-Q01.scs_stage,,SCS Application,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_warehouse_gsfs,GSFS-AU-SQL-Q01.scs_warehouse_gsfs,,SCS Application,Sofware vendors data warehouse. GSFS does not use this. GSFS Provides their own data warehouse.,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,scs_warehouse_master,GSFS-AU-SQL-Q01.scs_warehouse_master,,SCS Application,Sofware vendors data warehouse. GSFS does not use this. GSFS Provides their own data warehouse.,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,SSISDB,GSFS-AU-SQL-Q01.SSISDB,,SSIS Packages,,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,tempdb,GSFS-AU-SQL-Q01.tempdb,Yes,,,NULL,,,,Yes
GSFS-SQLAOC02,Secondary,CustomerPortal,GSFS-SQLAOC02.CustomerPortal,,,,ONLINE,,,,Yes
GSFS-SQLDEV02,Dev,CustomerPortal,GSFS-SQLDEV02.CustomerPortal,,,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,DBA,GSFS-AU-SQL-Q02.DBA,,DBA purpose,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,GSFS_IPS,GSFS-AU-SQL-Q02.GSFS_IPS,,IPS,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,GSFSSecurity,GSFS-AU-SQL-Q02.GSFSSecurity,,SSIS Packages,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,I3_IC,GSFS-AU-SQL-Q02.I3_IC,,Call Center,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,master,GSFS-AU-SQL-Q02.master,Yes,,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,model,GSFS-AU-SQL-Q02.model,Yes,,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,msdb,GSFS-AU-SQL-Q02.msdb,Yes,,,ONLINE,,,,Yes
GSFS-SQLAOC01,Secondary,DBA_new,GSFS-SQLAOC01.DBA_new,,,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,P_EDFSecurity,GSFS-AU-SQL-Q02.P_EDFSecurity,,SSIS Packages,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,SSA,GSFS-AU-SQL-Q02.SSA,,DBA purpose,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,SSISDB,GSFS-AU-SQL-Q02.SSISDB,,SSIS Packages,,ONLINE,,,,Yes
GSFS-AU-SQL-Q02,Primary,tempdb,GSFS-AU-SQL-Q02.tempdb,Yes,,,ONLINE,,,,Yes
GSFS-SQLDEV01,Dev,DBA_new,GSFS-SQLDEV01.DBA_new,,,,ONLINE,,,,Yes
GSFS-DBSQL-Q01,Primary,ASPState,GSFS-DBSQL-Q01.ASPState,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,DBA,GSFS-DBSQL-Q01.DBA,,DBA purpose,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,gsfs_applications,GSFS-DBSQL-Q01.gsfs_applications,,GSFS Group Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,gsfs_Trans,GSFS-DBSQL-Q01.gsfs_Trans,,GSFS Group Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,master,GSFS-DBSQL-Q01.master,Yes,,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,model,GSFS-DBSQL-Q01.model,Yes,,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,msdb,GSFS-DBSQL-Q01.msdb,Yes,,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,ReportServer,GSFS-DBSQL-Q01.ReportServer,,SCS Reports,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,ReportServerTempDB,GSFS-DBSQL-Q01.ReportServerTempDB,,SCS Reports,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_auto_document_gsfs,GSFS-DBSQL-Q01.scs_auto_document_gsfs,,SCS Application,SCS sub application database used to store contract scanned images,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_auto_gsfs,GSFS-DBSQL-Q01.scs_auto_gsfs,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_auto_master,GSFS-DBSQL-Q01.scs_auto_master,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_auto_Temp,GSFS-DBSQL-Q01.scs_auto_Temp,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_stage,GSFS-DBSQL-Q01.scs_stage,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_utility,GSFS-DBSQL-Q01.scs_utility,,SCS Application,,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_warehouse_gsfs,GSFS-DBSQL-Q01.scs_warehouse_gsfs,,SCS Application,Sofware vendors data warehouse. GSFS does not use this. GSFS Provides their own data warehouse.,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,scs_warehouse_master,GSFS-DBSQL-Q01.scs_warehouse_master,,SCS Application,Sofware vendors data warehouse. GSFS does not use this. GSFS Provides their own data warehouse.,NULL,,,,Yes
GSFS-DBSQL-Q01,Primary,tempdb,GSFS-DBSQL-Q01.tempdb,Yes,,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,AppSecurity,GSFS-FC-SQL-P03.AppSecurity,,"OMEGA, Incentives,Customer Portal,Executive Dashboard, Reinsurance & All internal applications",,NULL,,,,Yes
GSFS-AU-SQL-Q01,Primary,DBA_Rep,GSFS-AU-SQL-Q01.DBA_Rep,,,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_App,GSFS-FC-SQL-P03.GSFS_App,,"OMEGA, Incentives,Customer Portal,Executive Dashboard, Reinsurance & All internal applications",,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_ARG,GSFS-FC-SQL-P03.GSFS_ARG,,Report Portal & Executive Dashboard,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_DW,GSFS-FC-SQL-P03.GSFS_DW,,Data Warehouse & All internal applications,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_IPS,GSFS-FC-SQL-P03.GSFS_IPS,,IPS,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_LicMgmt,GSFS-FC-SQL-P03.GSFS_LicMgmt,,Legal,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_OMEGA,GSFS-FC-SQL-P03.GSFS_OMEGA,,OMEGA,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_Report,GSFS-FC-SQL-P03.GSFS_Report,,SSRS Reports,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_Sandbox,GSFS-FC-SQL-P03.GSFS_Sandbox,,SSRS Reports,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,GSFS_Stage,GSFS-FC-SQL-P03.GSFS_Stage,,SSRS Reports,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,iWORKS,GSFS-FC-SQL-P03.iWORKS,,iWORKS,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,master,GSFS-FC-SQL-P03.master,Yes,,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,model,GSFS-FC-SQL-P03.model,Yes,,,NULL,,,,Yes
GSFS-FC-SQL-P03,Secondary,msdb,GSFS-FC-SQL-P03.msdb,Yes,,,NULL,,,,Yes
sqlqascs,Primary,DBA_Rep,sqlqascs.DBA_Rep,,,,NULL,,,,Yes
